Accession Number,herbarium,species.label,modifier,my.species,Authorship Ref Species author::Species Author,province.state,collector,location,habitat,Geo_LatDegree,Geo_LongDegree,Geo_Source,mapped,certainty 0-3,Altitude from sheet,altitude.units,max elevation,altitude.corrected,Date,Entire plant,corolla width,spur length,spur reflexion,blade length,blade width,blade cleft,sepal length,sepal width,anther exsertion,sepal.color.0.4,Fls/infl,Petal midpoint diameter,Height cm,term lflt length cm,term lflt width cm,num bsl lvs,comments,changes
94466,UBC,formosa,,formosa,Fisch. ex DC.,BC,P.W. Joslin,"Copper River, Moresby Island, Queen Charlotte Islands",,48.727209,-123.320001,Google Earth,Y,1,NA,,,19,1960 Jul 9,N,0.89,1.57,0,0.15,0.35,Y,2.2,0.5,1.4,4,3,0.25,,,,,,
95798,UBC,formosa,,formosa,Fisch. ex DC.,BC,S.D. MacDonald,Topley,"common in damp open woodland poplar, willow etc.",54.50974,-126.29178,Google Earth,Y,1,NA,,,752,1956 Jul 18,Y,1.5,2,1,0.25,0.4,Y,2.4,0.9,1.35,4,3,0.47,,,,,,
60310,UBC,formosa,,formosa,Fisch. ex DC.,BC,R. Pillsbury,"Skidegate Inlet, Q.C.I.","common: open hillsides, pockets in rocks, seashore meadows",53.26803,-132.135911,Google Earth,Y,1,NA,,,113,1952 Jul 5,N,1.43,1.95,0,0.24,0.4,Y,2.4,0.7,1.05,3,6,0.3,,,,,,
55972,UBC,formosa,,formosa,Fisch. ex DC.,BC,V.C. Brink,"Black Tusk meadows, Garibaldi Park",,49.959774,-123.054463,Google Earth,Y,3,5500,ft,,1676.4,1956 Aug,Y,1.4,1.4,0,0.3,0.4,Y,2.2,0.8,1.4,2,4,NA,,,,,"possible hybrid, interesting sepals",
134143,UBC,formosa,,formosa,Fisch. ex DC.,BC,R. Revel,16 mi. S of McLeod Lake. Plot 004,Populus tremuloides - Pachystima myrsinites site,54.665612,-122.886409,Google Earth,Y,3,2000-2500,ft,,678.18,1967 Jun 15,Y,NA,1.5,NA,0.3,0.4,N,2.18,0.8,NA,2,4,0.3,,,,,"possible hybrid, no complete flowers",
55971,UBC,formosa,,formosa,Fisch. ex DC.,BC,V.C. Brink,"Helm Lake, Garibaldi Park",,49.967358,-123.025778,Google Earth,Y,3,5690,ft,,1734.312,1956 Aug 7,Y,1.6,1.7,0,0.25,0.4,Y,2.6,0.9,1.2,2,3,NA,,,,,"elevation added, no intact flowers",
36052,UBC,formosa,,formosa,Fisch. ex DC.,BC,D. Evlidge,"Forbidden Plateau, V.I.",,49.661195,-125.165081,Google Earth,Y,2,2400,ft,,731.52,1950 Aug 17,Y,1.3,2,1,0.3,0.38,N,2.7,0.77,1.22,4,3,0.4,,,,,elevation added,
43372,UBC,formosa,,formosa,Fisch. ex DC.,BC,R.G. McMinn,"Hitching Post, Haney",side of stream,49.20281,-122.581689,Google Earth,Y,2,10,ft,,3.048,1948 Jun 14,Y,1.2,1.4,1,0.15,0.36,N,1.4,0.6,1.1,3,8,0.21,,,,,,
43373,UBC,formosa,,formosa,Fisch. ex DC.,BC,Frank R. Hutton,Small clearing north edge of Lake McLeod,,54.992061,-123.038782,Google Earth,Y,2,2230,ft,,679.704,1948 Jun 15,N,NA,1.98,1,0.34,0.3,N,2.1,0.82,1.2,3,8,0.3,,,,,elevation added,
68942,UBC,formosa,,putative hybrid,Fisch. ex DC.,BC,M. Stonor,"Sheep Creek, Penticton",,49.354876,-119.74468,Google Earth,Y,1,NA,,,1015,1937 May 31,Y,1.93,1.9,1,0.4,0.4,N,1.9,0.7,1.25,2,4,0.27,,,,,putative hybrid,
66140,UBC,formosa,,formosa,Fisch. ex DC.,BC,W. Bird,"Mt. Moor, north of Dog Mt. N. end of Shulaps Range",,51.07808,-122.604455,Google Earth,Y,1,7000,ft,,2133.6,1957 Aug 8,Y,1.8,NA,NA,0.33,0.47,Y,1.6,0.6,1.17,2,2,NA,,,,,,
160789,UBC,formosa,,formosa,Fisch. ex DC.,BC,Peg McComb,abundant about 56 deg N. on the Steward-Cassiar High-way,,56,-129.093933,Google Earth,Y,3,770,ft,,234.696,1976 Jul 25,N,1.44,1.87,0,0.2,0.32,Y,2.5,0.63,1.4,4,4,0.32,,,,,elevation added,
95119,UBC,formosa,,putative hybrid,Fisch. ex DC.,BC,J.W. Eastham,"Head of Myoff Creek, N. Monashee",Alpine meadows,51.333375,-118.667053,Google Earth,Y,3,6000,ft,,1828.8,1960 Jul 29,N,1.52,1.6,3,0.35,0.3,N,1.9,0.7,1.06,3,1.5,0.4,,,,,putative hybrid,
43374,UBC,formosa,,formosa,Fisch. ex DC.,BC,Frank R. Hutton,small clearing north edge of Lake McLeod,,54.991708,-123.040697,Google Earth,Y,3,2240,ft,,682.752,1948 Jun 10,N,1.4,2,0,0.5,0.34,N,2.5,1,0.9,3,5,0.28,,,,,,
136505,UBC,formosa,,formosa,Fisch. ex DC.,BC,V.C. Brink,East of Kelowna,,49.855375,-119.210893,Google Earth,Y,1,NA,,,800,1951 Jul 10,Y,1.4,1.7,1,0.45,0.42,N,2.7,0.9,1.1,4,5,0.26,,,,,,
74425,UBC,formosa,,formosa,Fisch. ex DC.,BC,"T.M.C. Taylor, A.F. Szczawinski","Walters Island, Kyuquot, V.I.",edge of woods,50.026505,-127.378221,Google Earth,Y,3,50,ft,,15.24,1958 June 27, Y,1.1,1.1,2,0.2,0.32,N,1.4,0.4,1.1,2,6,0.2,,,,,,
74426,UBC,formosa,,formosa,Fisch. ex DC.,BC,"T.M.C. Taylor, A.F. Szczawinski","Markale, Kyuquot, V.I.",mossy stream side,50.072456,-127.169325,Ministry of Natural Resource Operations - BC Geographical Names,Y,3,90,ft,,27.432,1958 July 5,Y,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,5,NA,,,,,,
79550,UBC,formosa,,formosa,Fisch. ex DC.,BC,K. Roller,Powell River,,49.848538,-124.528237,Google Earth,Y,1,NA,,,29,1957 May 9,Y,NA,1,1,NA,NA,Y,2.2,0.5,0.8,3,3,0.2,,,,,immature,
79128,UBC,formosa,,formosa,Fisch. ex DC.,BC,F. Szy,Nanaimo River,,49.075211,-124.055161,Google Earth,Y,1,NA,,,160,1957 Jul 2,Y,NA,NA,1,NA,NA,NA,1.6,0.7,NA,2,5,NA,,,,,immature - younger flower is pure yellow,
83165,UBC,formosa,,formosa,Fisch. ex DC.,BC,"K. Beamish, F.Vrugtman, E. Kallio","Hope-Princeton Hwy. Big Burn, Mannin Park",gravelly flat by stream,49.162592,-120.941133,Ministry of Natural Resource Operations - BC Geographical Names,Y,3,3260,ft,,993.648,1959 Jul 6,Y,1.7,1.9,0,0.3,0.4,N,2.1,0.8,1.2,3,5.5,0.3,,,,,,
83707,UBC,formosa,,formosa,Fisch. ex DC.,BC,K. Roller,Mannin Park,,49.061189,-120.784856,Google Earth,Y,1,NA,,,1182,1959 Aug 2,Y,1.4,NA,NA,0.35,0.38,Y,1.9,0.6,1.1,3,3,,,,,,,
66021,UBC,formosa,,formosa,Fisch. ex DC.,BC,H.B. Van Horne,Remo (near Terrace) on main highway west of Zygomatity R. bridge,shaded gravel roadside,54.480151,-128.71971,Google Earth,Y,1,170,ft,,51.816,1949 Jun 17,Y,1.3,1.7,NA,0.3,0.4,Y,2.1,0.7,1.2,3,5.5,,,,,,,
116355,UBC,formosa,,formosa,Fisch. ex DC.,BC,V. J. Krajina,"Mt. Nicola, 6 mil. South of Messitt",,50.084141,-120.63565,label,Y,3,3837,ft,,1169.5176,1965 Jun 23,Y,1.5,2.15,1,0.38,0.35,N,1.9,0.7,0.9,3,13,,,,,,"location read as Merritt, not Messitt",
116283,UBC,formosa,,putative hybrid,Fisch. ex DC.,BC,V. J. Krajina,Revelstoke National Park,,51.076915,-118.001197,Google Earth,Y,1,NA,,,1891,1965 Jun 22,Y,1.2,1.2,2,0.6,0.5,N,1.8,0.62,0.65,3,11,,,,,,putative hybrid,
146087,UBC,formosa,,formosa,Fisch. ex DC.,BC,"R.L. Taylor, C.E. Beil, C.J. Marchant, S.J. Oliver","Saxifraga Creek, Ilgachuz Mountains north of Anahim Lake",rocky creek bottom with many dry spring flood plains available for vegetation,52.828055,-125.252392,label,Y,3,5600-5900,ft,,1752.6,1972 Aug 15,Y,1.1,1.7,1,0.4,0.3,N,2.2,0.8,0.8,3,3,,,,,,possible hybrid,
34067,UBC,formosa,,formosa,Fisch. ex DC.,BC,J. Buckland,"Great Central Lake, V.I.",near river,49.376814,-125.131626,Google Earth,Y,1,NA,,,129,1939 Jun,N,1.15,2.1,0,0.3,0.23,Y,2.7,0.8,1.1,4,,,,,,,,
34051,UBC,formosa,,formosa,Fisch. ex DC.,BC,J.W. Eastham,"W. of Kinbasket L., Big Bend Hwy",,52.098543,-118.632377,Google Earth,Y,1,NA,,,1787,1941 Jul 21,NA,1.77,2.1,0,0.45,0.6,N,2.1,0.8,1,4,,,,,,,"""only one seen; the yellow flowered form being the common one""",
34052,UBC,formosa,,formosa,Fisch. ex DC.,BC,T.R. Ashlee,near Haney,,49.211033,-122.63215,Google Earth,Y,1,NA,,,21,1923 May 25,N,NA,1.8,0,0.2,0.3,Y,2.7,0.8,1.05,2,,,,,,,,
34054,UBC,formosa,,formosa,Fisch. ex DC.,BC,W. Taylor,Quesnel,,52.980774,-122.492642,Google Earth,Y,1,NA,,,487,1933 Jul,N,1.66,2,0,0.2,0.4,Y,2.1,0.9,1.08,3,,,,,,,,
34056,UBC,formosa,,formosa,Fisch. ex DC.,BC,W. Taylor,"Tenquille Lake, Pemberton",,50.530534,-122.940357,Google Earth,Y,2,NA,,,1986,1946 Aug,Y,1.44,1.6,0,0.21,0.35,Y,2.5,0.84,1.1,4,,,,,,,,
34057,UBC,formosa,,formosa,Fisch. ex DC.,BC,J.W. Eastham,Prince George,woodland,53.935067,-122.728917,Google Earth,Y,1,NA,,,670,1944 Jun 25,Y,1.4,0.7,NA,0.22,0.35,Y,2.5,0.9,1.25,3,,,,,,,,
148153,UBC,formosa,,formosa,Fisch. ex DC.,BC,Schwartz,"40 miles NW of Clearwater, BC",moist woods,51.934658,-120.775946,Google Earth,Y,2,NA,,,1046,1974 Jun 24,Y,1.9,2,1,0.26,0.55,N,2.9,0.8,1.3,3,,,,,,,,
155568,UBC,formosa,,formosa,Fisch. ex DC.,BC,J. Pojar,"Columbine ridge,SW-most ridge of Ghost Mountain, Gladys Lake area",,57.612887,-128.83626,label,Y,3,4800,ft,,1463.04,1975 Jul 14,Y,1.4,1.75,0,0.2,0.4,N,1.9,0.7,1.1,3,,,,,,,"slight disagreement between description and coordinates, mapped by description",
172338,UBC,formosa,,formosa,Fisch. ex DC.,BC,Arle Kruckeberg,"S of Top Pit, Pinchi Mine",,54.64419,-124.445199,label,Y,2,2650,ft,,807.72,1981 Jun 20,Y,1.64,1.8,0,0.27,0.35,Y,2,0.73,1.4,4,,,,,,,,
158217,UBC,formosa,,formosa,Fisch. ex DC.,BC,"B. Fraser, V.J. Krajina","Sentinel Glacier foreland, Garibaldi park",glacial moraines,49.883613,-123.011201,Google Earth,Y,3,5000,ft,,1524,1966,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
47593,UBC,formosa,,formosa,Fisch. ex DC.,BC,M. Jackson,Taylor Lake (Tulameen River),,49.749138,-120.63281,Ministry of Natural Resource Operations - BC Geographical Names,Y,1,NA,,,1036,1950,N,1.88,2.2,0,0.3,0.45,Y,2.3,0.8,1.4,3,,,,,,,,
47781,UBC,formosa,,formosa,Fisch. ex DC.,BC,D. Farris Jr. ,3 miles north of Hope,on rock slide,49.424634,-121.440864,Google Earth,Y,1,NA,,,171,1954 May 19,Y,1.42,1.85,0,0.2,0.3,Y,2.2,0.88,1.2,3,,,,,,,,
207540,UBC,formosa,,formosa,Fisch. ex DC.,Oregon,Gerald B. Straley,1 km west of Murphy on Southside Road,,42.333724,-123.355442,Google Earth,Y,3,1130,ft,,344.424,1993 May 4,Y,1.6,2.1,1,0.15,0.35,Y,2,0.66,1.2,3,,,,,,,has 7 spurs!,
130126,UBC,formosa,,formosa,Fisch. ex DC.,Nevada,"Noel H. Holmgren, Patricia K. Holmgren",,,41.310857,-118.424391,Google Earth,Y,3,7600,ft,,2316.48,1970 Jul 20,Y,1.6,2.2,0,0.35,0.4,N,2.2,0.5,1.3,4,,,,,,,,
130255,UBC,formosa,,formosa,Fisch. ex DC.,Alberta,"K.I. Beamish, J. Pinder-Moss","Mt. Clitheroe, Tonquin Valley, Jasper National Park",open meadow slopes above timber,52.71425,-118.228893,Google Earth,Y,3,7500,ft,,2286,1970 Jul 26,Y,1.45,1.3,1,0.4,0.55,N,1.5,0.58,0.76,3,,,,,,,,
136041,UBC,formosa,,formosa,Fisch. ex DC.,Oregon,V. J. Krajina,"Under Wapinitia Pass, Mt. Hood",,45.219667,-121.694689,Google Earth,Y,1,NA,,,1180,1954 Jun 13,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,,,looks more like flavescens than formosa,
130134,UBC,formosa,,formosa,Fisch. ex DC.,Idaho,"Noel H. Holmgre, Earl Jensen","Black Pine Peak area, Pole Canyon, above Pole Spring, 44 airline miles south-east of Burley",common in aspen and open areas with sagebrush,42.10933,-113.053809,Google Earth,Y,2,6700,ft,,2042.16,1969 Jun 9,Y,1.4,1.8,1,0.45,0.47,N,2.4,0.65,1.4,4,,,,,,,,
86682,UBC,formosa,,formosa,Fisch. ex DC.,Alaska,W.J. Eyerdam,"Washington Bay, Kuiu Island",in shady ravine,56.729057,-134.355694,Google Earth,Y,2,NA,,,181,1955 Jul 20,N,1.7,1.5,0,0.3,0.4,N,2.7,0.8,1.3,3,,,,,,,,
45879,UBC,formosa,,formosa,Fisch. ex DC.,Washington,J. William Thompson,"Snohomish county, base of Big Four Mt., Cascade Mts.",alpine slopes,48.045257,-121.502825,Google Earth,Y,3,2400,ft,,731.52,1940 Jun 15,Y,1.6,NA,NA,0.26,0.4,N,2.3,0.81,1.4,3,,,,,,,,
65115,UBC,formosa,,putative hybrid,Fisch. ex DC.,Oregon,W.C. McCalla,just below summit of Blue Mountain Pass,open woods,42.323832,-117.87216,Google Earth,Y,2,4300,ft,,1310.64,1938 Jul 8,Y,1.36,1.54,2,0.2,0.35,N,1.4,0.5,1,2,,,,,,,"putative hybrid, elevation as on label",
71261,UBC,formosa,,formosa,Fisch. ex DC.,Oregon,Albert N. Steward,"Benton County, along road to Bell-fountain, 4 mi. s.w. of Corvallis","scattered in woodland shade, with Lilium & Campanula, on moist humus soil",44.436676,-123.336239,Google Earth,Y,3,400,ft,,121.92,1953 Aug 4,Y,1.57,1.33,1,0.3,0.45,N,1.7,0.5,1.5,4,,,,,,,,
766169,UBC,formosa,,formosa,Fisch. ex DC.,Washington,J.W. Tolmie,Mt. Rainier,,46.906723,-121.844497,Google Earth,Y,1,NA,,,1385,1912,N,1.3,1.9,1,0.3,0.2,N,1.9,0.5,0.9,3,,,,,,,,
78425,UBC,formosa,,formosa,Fisch. ex DC.,Oregon,Ellen Walter,"Lane County, East of Greenleaf, 4 to 5 miles","damp cliff with thin, dry soil; south exposure;with grasses, Saxifraga, Sedum",44.116917,-123.567016,Google Earth,Y,2,800,ft,,243.84,1955 May 21,Y,0.97,1.4,NA,0.24,0.35,N,2.4,0.82,1.2,3,,,,,,,,
103865,UBC,formosa,,formosa,Fisch. ex DC.,Washington,F. Vrugtman,"Glacier Creek Headwaters, Mt. Baker",mountain-side meadow,48.836009,-121.860599,Google Earth,Y,2,NA,,,1746,1962 Jul 15,Y,1.5,1.8,0,0.3,0.3,N,2.5,1,1.43,3,,,,,,,,
184699,UBC,formosa,,formosa,Fisch. ex DC.,California,K.Y. Kiew,above Lake Sabrina,sandy soil,37.20684,-118.613997,Google Earth,Y,1,NA,,,2839,1971 July 29,Y,1.75,2.6,0,0.5,0.3,N,1.9,0.61,0.7,3,,,,,,,,
110880,UBC,formosa,,formosa,Fisch. ex DC.,California,D.E.Breedlove,Plaskett Creek Campground,dense thicket of Rubus sp. And Rhus diversiloba,35.919235,-121.469123,Google Earth,Y,3,100,ft,,30.48,1962 Apr 6,N,0.74,1.4,1,0.4,0.38,N,NA,NA,0.4,3,,,,,,,,
90406,UBC,formosa,,formosa,Fisch. ex DC.,Alaska,"south-facing slope of Klehini River Valley along Haines Road near Mile 33, about 51 km. northwest of Haines","sandy, talus slope",,59.43864,-136.253216,Google Earth,Y,3,225,m,,225,1959 Jul 4,Y,1.5,1.6,NA,0.33,0.3,N,2.3,0.7,1.3,4,,,,,,,,
95103,UBC,formosa,var. wawawensis,formosa,Pays.,Washington,"along Snake River, across from Truax, Whitman Co",moist cliffs,,46.687868,-117.514969,Google Earth,Y,1,NA,,,343,1928 May 18,Y,1.48,1.43,1,0.33,0.4,N,1.9,0.77,1.2,3,,,,,,,,
79215,UBC,formosa,,formosa,Fisch. ex DC.,BC,L. Holm,"Cowichan, Vancouver Island",,48.823496,-123.992599,Google Earth,Y,1,NA,,,264,1959 May 21,Y,1.65,1.75,1,0.2,0.34,Y,2.7,0.8,0.83,4,5,0.38,,,,,,
V34055,UBC,formosa,,formosa,Fisch. ex DC.,BC,W. Taylor,"North Shore, Eagle Creek",,49.363868,-123.244867,Ministry of Natural Resource Operations - BC Geographical Names,Y,2,NA,,,284,1914 Jun 28,N,1,1.7,1,0.2,NA,NA,1,0.6,1.3,2,5,0.35,NA,3.1,3.1,NA,,
36603,UBC,formosa,,formosa,Fisch. ex DC.,Alaska,R.F.  Scott,Peters Creek,,61.342414,-149.280565,Google Earth,Y,2,2500,ft,,762,1950 Jul 17,Y,1.3,1.51,0,0.3,0.31,N,2.3,0.61,0.8,4,,,,,,,purple flower!,
170815,ID,flavescens,,flavescens,S. Watson,Idaho,Reina Nielsen,,,44.85012,-115.96146,GPS,Y,3,2133,m,,2133,2015 Jul 1,Y,1.42,1.57,0,0.48,0.53,N,1.56,0.49,0.64,0,,,,,,,,
170684,ID,formosa,,formosa,,Idaho,Janet Bala,,,45.998039,-115.652675,Specimen Label,Y,3,1500,m,,1500,2015 Jun 19,Y,1.82,1.85,3,0.73,0.74,N,2.95,1.16,0.69,4,,,,,,,,
170713,ID,formosa,,formosa,,Idaho,J. F. Smith,,,46.045067,-115.6604,Specimen Label,Y,3,1787,m,,1787,2015 Jun 19,Y,2.04,2.11,0,0.4,0.68,N,2.48,0.93,1,NA,,,,,,,,
170499,ID,formosa,,formosa,,Idaho,Sarah Herzog,,,46.1488,-115.50215,Specimen Label,Y,3,1768,m,1829,1800,2015 Jun 19,Y,1.13,2.04,1,0.57,0.43,N,1.7,0.54,0.48,4,,,,,,,,
169360,ID,flavescens,,putative hybrid,,Idaho,Hannah Marx,,,43.77446,-114.15942,Digital Map,Y,2,3537,m,,3537,2013 Aug 7,N,1.4,1.24,0,0.37,0.45,N,1.45,0.6,0.68,1,,,,,,,,
165345,ID,formosa,,formosa,,Idaho,Danielle L. Clay,,,44.73893,-115.45797,Specimen Label,Y,3,2250,m,,2250,2011 Aug 24,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,fruiting,
165592,ID,flavescens,,putative hybrid,,Idaho,D. Mansfield,,,44.4108,-114.7357,Specimen Label,Y,3,2073,m,,2073,2010 Jul 17,Y,1.89,1.64,1,0.43,0.64,N,1.98,0.51,0.99,2,,,,,,,,
158879,ID,formosa,,formosa,,Idaho,J. F. Smith,,,43.831817,-114.045233,,Y,2,2404,m,,2404,2009 Jul 11,Y,1.75,1.6,1,0.45,0.54,N,1.86,0.76,0.96,4,,,,,,,,
158806,ID,formosa,,formosa,,Oregon,Richard R. Halse,,,45.43124,-118.36353,,Y,2,1228,m,,1228,2009 Jun 15,Y,1.49,1.73,0,0.21,0.3,N,1.88,0.66,1.13,4,,,,,,,,
145370,ID,formosa,,putative hybrid,,Idaho,J. F. Smith,,,45.26855,-116.186283,,Y,2,2348,m,,2348,2008 Jul 9,Y,NA,NA,3,NA,NA,NA,1.71,0.82,NA,2,,,,,,,,
157292,ID,flavescens,,flavescens,,Idaho,Pamela Brunsfeld,,,47.430078,-115.760625,,Y,2,1774,m,,1774,2007 Jul 19,Y,2.54,1.74,2,0.56,0.75,N,2.75,1.07,0.83,0,,,,,,,,
142507,ID,flavescens,,flavescens,,Idaho,Pam Brunsfeld,,,47.432969,-115.758567,,Y,2,1763,m,,1763,2007 Jun 26,Y,2.45,1.35,0,0.81,0.66,N,1.98,0.75,0.65,0,,,,,,,,
140537,ID,flavescens,,flavescens,,Idaho,Matthew Parks,,,48.635167,-116.567667,,Y,2,1707,m,2226,1967,2007 Jul 10,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,,,,
138695,ID,flavescens,,flavescens,,Idaho,Pam Brunsfeld,,,48.677258,-116.654572,,Y,2,1880,m,,1880,2006 Jul 12,Y,1.15,NA,NA,0.62,NA,N,NA,NA,0.47,0,,,,,,,,
138668,ID,flavescens,,flavescens,,Idaho,Pam Brunsfeld,,,46.944694,-115.277272,,Y,2,2008,m,,2008,2006 Jul 18,Y,1.83,1.93,0,0.55,0.67,N,1.78,0.52,0.89,0,,,,,,,,
144289,ID,flavescens,,flavescens,,Washington,Ryan Miller,,,47.304722,-120.597361,,Y,2,1515,m,,1515,2006 Jul 8,Y,2.19,1.87,0,0.38,0.7,N,2,0.67,0.86,0,,,,,,,,
144250,ID,flavescens,,putative hybrid,,Washington,Don Knoke,,,47.2523,-120.585633,,Y,2,1944,m,,1944,2006 Jul 7,Y,1.89,1.84,1,0.41,0.43,N,2.44,0.84,1.23,0,,,,,,,"one flower with yellow seps, red spurs, another with blue seps, yellow spurs",
144627,ID,formosa,,formosa,,Washington,Robert Goff,,,47.3302,-120.6752,,Y,2,1000,m,,1000,2006 Jul 8,Y,NA,1.35,0,0.37,0.3,N,1.63,0.69,0.76,4,,,,,,,has more green in sepals than usual,
144370,ID,formosa,,formosa,,Washington,Cole Brooking,,,47.323633,-120.5263,,Y,2,1711,m,,1711,2006 Jul 9,Y,1.64,1.33,3,0.33,NA,Y,2.19,1,1.24,3,,,,,,,,
137707,ID,formosa,,formosa,,BC,Amie-June Brumble,,,53.251947,-132.045408,,Y,2,2,m,,2,2006 May 30,Y,1.13,1.54,1,0.4,0.34,N,1.42,0.62,0.79,4,,,,,,,,
141679,ID,flavescens,,flavescens,,Idaho,Sheila Olmstead,,,46.860183,-115.22885,,Y,2,1767,m,,1767,2005 Jul 10,Y,2.08,1.74,0,0.51,0.76,N,1.87,0.78,0.73,0,,,,,,,,
133942,ID,flavescens,,putative hybrid,,Montana,Carly E. Gibson,,,45.4142,-112.8841,TRS2LL,Y,2,2207,m,,2207,2005 Jul 9,Y,2.07,1.96,1,0.63,0.64,N,2.82,1.03,1.09,1,,,,,,,,
135155,ID,formosa,,formosa,,Washington,David Kiefer,,,47.4097,-121.7726,TRS2LL,Y,2,1037,m,,1037,2001 Jun 23,Y,0.82,1.18,0,0.22,0.25,N,1.61,0.56,1.24,4,,,,,,,,
114875,ID,formosa,,formosa,,Idaho,Mark Fishbein,,,44.441667,-113.316667,,Y,2,2736,m,,2736,1999 Jul 30,Y,2.02,2.35,0,0.5,0.7,N,2,0.53,0.92,4,,,,,,,,
162666,ID,flavescens,,flavescens,,Wyoming,David Rosenthal,,,44.4328,-109.8651,TRS2LL,Y,2,2256,m,2500,2378,1997 Jul 13,Y,1.95,1.46,1,0.62,0.74,N,1.33,0.57,0.44,0,,,,,,,,
119508,ID,flavescens,,flavescens,,Idaho,Michael Mancuso,,,44.7522,-115.794,TRS2LL,Y,2,2646,m,,2646,1996 Jul 20,Y,NA,0.99,3,0.56,0.46,N,1.07,NA,0.77,0,,,,,,,,
113854,ID,formosa,,formosa,,Oregon,A. C. Sondenaa,,,44.7625,-123.9374,TRS2LL,Y,2,NA,,,31,1995 Jun 2,Y,1.45,2.14,0,0.21,0.3,Y,2.36,0.74,0.96,4,,,,,,,,
113441,ID,flavescens,,flavescens,,Idaho,Bob Moseley,,,47.303,-115.5303,TRS2LL,Y,2,1997,m,,1997,1993 Jul 14,Y,2.2,1.56,2,0.66,0.64,N,2.43,1.21,0.79,0,,,,,,,,
158799,ID,formosa,,formosa,,Oregon,Calib Baldwin,,,42.3235,-122.1969,TRS2LL,Y,2,1585,m,,1585,1993 Jul 7,Y,1.49,1.75,1,0.24,0.43,N,2.1,0.87,1.03,4,,,,,,,,
109039,ID,flavescens,,flavescens,,Idaho,Michael Mancuso,,,45.2038,-114.6829,TRS2LL,Y,2,1037,m,1159,1098,1992 Jun 5,Y,1.41,1.6,0,0.37,0.5,N,1.41,0.45,0.71,0,,,,,,,,
111325,ID,flavescens,,flavescens,,Idaho,Stuart Markow,,,44.6712,-111.3063,TRS2LL,Y,2,2073,m,2134,2104,1992 Jun 7,Y,1.88,1.59,2,0.56,0.68,N,2.23,0.73,0.59,1,,,,,,,,
105691,ID,flavescens,,flavescens,,Montana,Maria Mantas,,,48.6382,-114.4198,TRS2LL,Y,2,2296,m,,2296,1992 Jun 28,Y,2.21,1.25,3,0.51,0.67,N,2.3,1.25,0.69,0,,,,,,,,
111694,ID,formosa,,formosa,,Idaho,B. E. Nelson,,,44.482,-111.9084,TRS2LL,Y,2,2012,m,,2012,1992 Jun 5,Y,1.39,1.68,3,0.33,NA,N,1.65,0.72,1.08,4,,,,,,,,
103591,ID,formosa,,formosa,,Nevada,Arnold Tiehm,,,40.4431,-118.1801,TRS2LL,Y,2,1951,m,,1951,1898 Jun 22,Y,1.2,1.55,0,0.26,0.25,N,1.84,0.5,1.12,3,,,,,,,,
77063,ID,flavescens,,flavescens,,Idaho,A. F. Cholewa,,,43.5093,-116.1259,TRS2LL,Y,2,2195,m,,2195,1982 Aug 11,Y,1.54,1.27,0,0.36,0.63,N,1.55,0.7,0.59,0,,,,,,,,
81035,ID,formosa,,formosa,,Idaho,Douglass Henderson,,,44.110206,-113.13652,Digital Map,Y,2,2165,m,,2165,1982 Jul 28,Y,1.59,1.66,1,0.19,0.42,Y,1.74,0.72,1.18,4,,,,,,,,
75757,ID,formosa,,formosa,,Idaho,A. F. Cholewa,,,43.4176,-113.0252,TRS2LL,Y,2,1744,m,,1744,1981 Jun 11,Y,NA,1.95,2,0.4,0.49,N,1.97,0.86,1.04,4,,,,,,,,
80650,ID,flavescens,,flavescens,,Wyoming,E. F. Evert,,,44.4908,-110.1269,TRS2LL,Y,2,2896,m,,2896,1980 Aug 8,Y,1.37,0.96,2,0.33,0.4,N,1.43,NA,0.66,0,,,,,,,,
76121,ID,formosa,,putative hybrid,,Idaho,F. H. Utech,,,45.6631,-114.8133,TRS2LL,Y,2,2287,m,,2287,1980 Jul 31,Y,1.85,1.68,2,0.45,0.66,N,2.17,0.73,1.17,3,,,,,,,,
149417,ID,flavescens,,putative hybrid,,Idaho,Steven Brunsfeld,,,43.8637,-113.3648,TRS2LL,,2,1966,m,,1966,1797 May 31,Y,1.38,1.31,2,0.34,0.47,N,1.43,0.43,0.49,2,,,,,,,,
72497,ID,flavescens,,putative hybrid,,Idaho,R. T. Bingham,,,45.363889,-116.486111,,,2,2546,m,,2546,1979 Jul 21,Y,1.84,1.63,2,0.57,0.66,N,1.83,0.61,0.51,1,,,,,,,,
127129,ID,flavescens,,flavescens,,Washington,C. A. Wellner,,,48.7939,-117.1317,TRS2LL,Y,2,1616,m,,1616,1974 Jul 21,Y,2.92,2.04,1,0.86,0.74,N,2.84,1,0.67,0,,,,,,,,
125020,ID,formosa,,formosa,,Idaho,C. A. Wellner,,,45.6342,-114.9164,TRS2LL,Y,2,2134,m,,2134,1974 Aug 14,Y,1.64,1.77,0,0.4,0.56,N,2.39,0.63,0.66,4,,,,,,,,
